exp1	exp2	exp3	exp4	exp5	exp6
C00232	-0.476890436426548	-0.855951493066338	0.385461445694336	-0.102105076018805	-1.14656865540392	0.721298859740335
C01881	-0.607336561266168	0.394682361645034	-1.2644288442696	0.793713810440603	0.410876416453058	-0.201575727369126
C02424	0.0843431761154335	0.780114405129558	-0.563228055999661	1.19429275847492	0.999910138277519	1.71279617703642
C07418	-1.28256245268706	-0.728915535700587	1.19821922450477	0.530855483235932	1.49628242719099	2.27806785845181
C13756	-0.720835265170967	0.475353474278135	-2.35403598163134	1.73600395357963	-2.43532090681286	0.907260343105213
C07378	-0.328249196866557	-1.09729695423469	0.00355883753136774	0.571562000528562	-1.78968860011695	-0.551752125563829
C06633	0.409918023853935	0.265803495872592	-0.443668383256504	0.738996097546281	1.22368294437408	-0.293552833016927
C00251	0.156184703263649	1.35813246595977	0.553805837323545	-1.24719417685564	-0.616489634586078	1.14227516499151
C01059	-0.87014163899394	1.00726927473227	0.117663577215851	0.61192187554801	-0.263056264991292	-2.55571282846962
C02226	-0.319745263403778	1.20585985890008	0.921269130306396	-0.646355791182944	-1.21246716210102	0.271691043352126
C03037	-1.9021005071239	0.248438565632797	-0.0325825874370838	-1.69875542877011	-0.829192707950507	-0.901530524244854
C10017	0.916292711976755	-0.503393825536819	0.516147369337836	0.117873862016684	-0.333692783994288	-1.47253956702671
C05590	-0.727148217633786	0.10887827826559	-0.206463616027705	0.193572504776628	-1.34526904368409	1.22501464881865
C04221	-3.31282078808695	1.32708498821087	-0.145289918742942	-0.227352377626843	-1.41446395265932	0.984628656880611
C03725	-1.36710625458464	-0.267437596884856	0.973223168740288	0.66220269978252	-0.217025626794916	-0.542445954421697
C08817	0.981962294634411	0.562294043429835	-0.0220505686516248	0.104827642272141	-0.40993567990738	0.493840571030886
C12058	0.124343199336871	0.305687104718541	0.0484718132788765	0.0522305912315832	0.332374772400898	0.198840858788788
C11718	0.608376485086229	0.298389186631372	1.11871433133114	-0.361535193862711	-1.06828871920252	-0.987507344844672
C00665	-0.593190912148474	0.00254733657744539	-0.34718764421307	-0.0793697687226025	-1.04446442090196	0.566280489617678
C06921	-0.29020061029018	2.60681775874499	0.57479140421161	0.51395914472363	0.726845782097155	-0.612350505387202
C11306	-1.36070620022771	1.84004359569848	0.519596035880669	-0.349863310636949	-0.147888451254773	0.896021830476345
C00691	0.710958621205686	0.150121380309414	0.0188350512981743	0.439718181928322	1.76469388315706	-0.0897691878473153
C00540	0.826014390877736	-1.11715973870315	-1.3164881871351	0.85472330664294	-0.967080122262108	-0.598895552825868
C04378	-0.554086247432771	-1.52468689955437	0.98358494746407	0.0727980105255966	1.75050114603753	-1.12471617312957
C01417	0.451327607522655	-1.44256944286221	-0.190730317645304	0.282985844761656	1.92804651389874	0.997421801433389
C16361	0.12165712036786	1.21836600062442	-0.462688392162268	-0.425224093975261	0.747591146584626	0.261913507498691
C07142	1.48925101435276	-0.114212520145476	-1.23122739549628	1.63531961647241	0.545068909972108	1.02606084578685
C03881	-0.24347856811097	-1.72269992159391	1.96097533068985	0.59675117496016	0.97687986078971	0.240227335392598
C05299	1.29085628213577	-0.506458496959349	-0.463209019272252	0.91863478403687	0.550267834206504	-0.172069582393181
C02850	-0.1865410838064	-0.902244226831447	-0.864654732741677	-0.649178138437569	-0.095573624647372	1.08908183576555
C11138	2.06315652412967	0.783419131403491	1.08077026923611	0.101389777245786	0.713534391606898	0.953240455052025
C04835	-0.629829046624654	-1.54830095692362	-1.16948748583839	-0.709509263808951	2.00609069833872	-0.642367613539479
C02336	0.810833564373504	0.636838569070985	-0.440697540335955	0.857702642842934	-0.83870898112899	-0.968444107324404
C11507	1.7829069147993	1.15202403514301	-1.76537597348406	-0.50280774576419	-0.54800921421152	0.528712158809369
